location,project,VegHF,SoilHF,VegForDetectionDistance
OG-AAC-761-41,ABMI Ecosystem Health 2017,Pine4,UNK,Conif
OG-AAC-793-41,ABMI Ecosystem Health 2017,WellSite,WellSite,HF
OG-AAC-793-42,ABMI Ecosystem Health 2017,Spruce9,UNK,Conif
OG-AAC-793-43,ABMI Ecosystem Health 2017,Mixedwood9,UNK,Decid
OG-AAC-793-44,ABMI Ecosystem Health 2017,CCSpruce2,CutBlocks,Conif
OG-AAC-793-45,ABMI Ecosystem Health 2017,Marsh,UNK,WetGrass
OG-AAC-793-46,ABMI Ecosystem Health 2017,ShrubbyFen,UNK,Shrub
OG-AAC-830-41,ABMI Ecosystem Health 2017,CCMixedwood2,CutBlocks,Conif
OG-AAC-830-42,ABMI Ecosystem Health 2017,WellSite,WellSite,HF
OG-AAC-830-43,ABMI Ecosystem Health 2017,CCSpruce2,CutBlocks,Conif
OG-ABMI-1059-21,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,HF
OG-ABMI-1059-22,ABMI Ecosystem Health 2015,TreedSwamp4,LtcR,Decid
OG-ABMI-1059-23,ABMI Ecosystem Health 2015,Shrub,LtcR,Conif
OG-ABMI-1060-41-NE,ABMI Ecosystem Health 2017,GrassHerb,Lo,Grass
OG-ABMI-1060-41-NW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
OG-ABMI-1060-41-SE,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
OG-ABMI-1060-41-SW,ABMI Ecosystem Health 2017,CultivationTamePasture,CultivationTamePasture,HF
OG-ABMI-1091-21,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
OG-ABMI-1119-21,ABMI Ecosystem Health 2015,Decid4,Lo,Decid
OG-ABMI-1188-41-NE,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
OG-ABMI-1188-41-NW,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
OG-ABMI-1188-41-SE,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
OG-ABMI-1188-41-SW,ABMI Ecosystem Health 2017,GrassHerb,Sy,Grass
OG-ABMI-1193-21,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
OG-ABMI-1249-21,ABMI Ecosystem Health 2015,Marsh,Lo,WetGrass
OG-ABMI-1249-22,ABMI Ecosystem Health 2015,Decid6,Lo,Decid
OG-ABMI-1249-23,ABMI Ecosystem Health 2015,TreedSwamp2,LtcR,Conif
OG-ABMI-1333-21,ABMI Ecosystem Health 2015,Decid5,LenW,Decid
OG-ABMI-1334-21,ABMI Ecosystem Health 2015,Decid1,Lo,WetGrass
OG-ABMI-1334-22,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
OG-ABMI-1360-21,ABMI Ecosystem Health 2015,Shrub,LenW,Grass
OG-ABMI-1389-21,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
OG-ABMI-1389-22,ABMI Ecosystem Health 2015,GrassHerb,LenA,Grass
OG-ABMI-1412-21,ABMI Ecosystem Health 2015,GrassHerb,LtcR,Grass
OG-ABMI-1412-22,ABMI Ecosystem Health 2015,Shrub,Lo,Water
OG-ABMI-1413-21,ABMI Ecosystem Health 2015,CultivationRoughPasture,CultivationRoughPasture,Grass
OG-ABMI-1462-21,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
OG-ABMI-1462-22,ABMI Ecosystem Health 2015,GrassHerb,Sy,WetGrass
OG-ABMI-1464-21,ABMI Ecosystem Health 2015,Shrub,Sy,WetGrass
OG-ABMI-1464-22,ABMI Ecosystem Health 2015,GrassHerb,Sy,Grass
OG-ABMI-1481-21,ABMI Ecosystem Health 2015,Shrub,LtcR,Shrub
OG-ABMI-1481-22,ABMI Ecosystem Health 2015,GrassHerb,LtcR,Grass
OG-ABMI-1482-21,ABMI Ecosystem Health 2015,GrassHerb,BlO,Grass
OG-ABMI-1482-22,ABMI Ecosystem Health 2015,Decid8,LtcR,Decid
OG-ABMI-1567-21,ABMI Ecosystem Health 2015,Decid5,LtcR,Decid
OG-ABMI-1567-22,ABMI Ecosystem Health 2015,Marsh,LtcR,WetGrass
OG-ABMI-1567-23,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
OG-ABMI-1567-24,ABMI Ecosystem Health 2015,Decid5,LtcR,Decid
OG-ABMI-1634-21,ABMI Ecosystem Health 2015,ShrubbySwamp,TB,WetGrass
OG-ABMI-1634-22,ABMI Ecosystem Health 2015,Pine6,Lo,Conif
OG-ABMI-1634-23,ABMI Ecosystem Health 2015,Bare,TB,Conif
OG-ABMI-1641-21,ABMI Ecosystem Health 2015,GrassHerb,Lo,Grass
OG-ABMI-1642-21,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
OG-ABMI-1642-22,ABMI Ecosystem Health 2015,GrassHerb,Sa,Grass
OG-ABMI-406-51,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-406-52,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-406-53,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-436-51,ABMI Ecosystem Health 2018,CCSpruce1,CutBlocks,Shrub
OG-ABMI-436-52,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-436-53,ABMI Ecosystem Health 2018,Mixedwood9,UNK,Decid
OG-ABMI-436-54,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-438-51,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-438-52,ABMI Ecosystem Health 2018,TreedSwamp9,UNK,WetTreed
OG-ABMI-438-53,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-439-57,ABMI Ecosystem Health 2018,Spruce7,UNK,Conif
OG-ABMI-439-58,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-468-51,ABMI Ecosystem Health 2018,CCSpruce1,CutBlocks,Shrub
OG-ABMI-468-52,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-468-53,ABMI Ecosystem Health 2018,Spruce1,UNK,Conif
OG-ABMI-469-51,ABMI Ecosystem Health 2018,GraminoidFen,UNK,WetGrass
OG-ABMI-470-56,ABMI Ecosystem Health 2018,Pine8,UNK,Conif
OG-ABMI-477-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-477-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-477-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-477-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-493-52,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-498-52,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-499-51,ABMI Ecosystem Health 2018,Mixedwood1,UNK,Decid
OG-ABMI-499-52,ABMI Ecosystem Health 2018,Spruce8,UNK,Conif
OG-ABMI-499-53,ABMI Ecosystem Health 2018,CCSpruce1,CutBlocks,Shrub
OG-ABMI-499-54,ABMI Ecosystem Health 2018,Mixedwood4,UNK,Decid
OG-ABMI-500-51,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-500-52,ABMI Ecosystem Health 2018,Spruce8,UNK,Conif
OG-ABMI-500-53,ABMI Ecosystem Health 2018,Spruce8,UNK,Conif
OG-ABMI-500-54,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-500-55,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-500-56,ABMI Ecosystem Health 2018,GraminoidFen,UNK,WetGrass
OG-ABMI-500-57,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-500-58,ABMI Ecosystem Health 2018,Spruce6,UNK,Conif
OG-ABMI-500-59,ABMI Ecosystem Health 2018,DecidR,UNK,Decid
OG-ABMI-510-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-510-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-510-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-510-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-510-41-1,ABMI Ecosystem Health 2017,Decid6,NA,Decid
OG-ABMI-510-41-2,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-510-41-3,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-510-41-4,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-521-52,ABMI Ecosystem Health 2018,CCDecid1,CutBlocks,Shrub
OG-ABMI-529-51,ABMI Ecosystem Health 2018,ShrubbyBog,UNK,Shrub
OG-ABMI-531-41-1,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-531-41-2,ABMI Ecosystem Health 2017,TreedFen6,NA,WetTreed
OG-ABMI-531-41-3,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
OG-ABMI-531-41-4,ABMI Ecosystem Health 2017,TreedBog3,NA,WetTreed
OG-ABMI-531-51,ABMI Ecosystem Health 2018,CCSpruce1,CutBlocks,Shrub
OG-ABMI-531-52,ABMI Ecosystem Health 2018,TreedSwamp9,UNK,WetTreed
OG-ABMI-531-53,ABMI Ecosystem Health 2018,Spruce8,UNK,Conif
OG-ABMI-531-54,ABMI Ecosystem Health 2018,Spruce9,UNK,Conif
OG-ABMI-555-51,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-555-53,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-555-55,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-555-56,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-559-51,ABMI Ecosystem Health 2018,SeismicLineWide,SeismicLineWide,HF
OG-ABMI-559-52,ABMI Ecosystem Health 2018,SeismicLineWide,SeismicLineWide,HF
OG-ABMI-560-51,ABMI Ecosystem Health 2018,Decid6,UNK,Decid
OG-ABMI-560-52,ABMI Ecosystem Health 2018,Marsh,UNK,WetGrass
OG-ABMI-560-53,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-560-54,ABMI Ecosystem Health 2018,Mixedwood7,UNK,Decid
OG-ABMI-561-51,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-561-52,ABMI Ecosystem Health 2018,Spruce8,UNK,Conif
OG-ABMI-561-53,ABMI Ecosystem Health 2018,Pine7,UNK,Conif
OG-ABMI-571-21-1,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-571-21-2,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-571-21-3,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-571-21-4,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-574-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-574-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-574-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-574-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-583-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-583-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-583-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-583-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-586-41-NE,ABMI Ecosystem Health 2017,CCDecid2,CutBlocks,Decid
OG-ABMI-586-41-NW,ABMI Ecosystem Health 2017,CCDecid2,CutBlocks,Decid
OG-ABMI-586-41-SE,ABMI Ecosystem Health 2017,CCDecid2,CutBlocks,Decid
OG-ABMI-586-41-SW,ABMI Ecosystem Health 2017,CCDecid2,CutBlocks,Decid
OG-ABMI-602-51,ABMI Ecosystem Health 2018,TreedBog4,UNK,WetTreed
OG-ABMI-602-52,ABMI Ecosystem Health 2018,Spruce1,UNK,Conif
OG-ABMI-602-53,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-616-54,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-617-41-1,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,Decid
OG-ABMI-617-41-2,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,Decid
OG-ABMI-617-41-3,ABMI Ecosystem Health 2017,CCMixedwood2,CutBlocks,Conif
OG-ABMI-617-41-4,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,Decid
OG-ABMI-623-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-623-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-623-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-623-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-626-51,ABMI Ecosystem Health 2018,Mixedwood8,UNK,Decid
OG-ABMI-626-52,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-626-53,ABMI Ecosystem Health 2018,ShrubbyBog,UNK,Shrub
OG-ABMI-629-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,Water
OG-ABMI-629-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-629-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-629-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-630-52,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-630-53,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-633-51,ABMI Ecosystem Health 2018,CCMixedwood4,CutBlocks,Conif
OG-ABMI-633-52,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-634-51,ABMI Ecosystem Health 2018,GraminoidFen,UNK,WetGrass
OG-ABMI-634-52,ABMI Ecosystem Health 2018,Spruce2,UNK,Conif
OG-ABMI-637-51,ABMI Ecosystem Health 2018,Mixedwood7,UNK,Decid
OG-ABMI-637-52,ABMI Ecosystem Health 2018,CCSpruce2,CutBlocks,Conif
OG-ABMI-638-51,ABMI Ecosystem Health 2018,Pine7,UNK,Conif
OG-ABMI-651-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-41-1,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-41-2,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-41-3,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-651-41-4,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-658-51,ABMI Ecosystem Health 2018,ShrubbyBog,UNK,Shrub
OG-ABMI-658-52,ABMI Ecosystem Health 2018,Decid6,UNK,Decid
OG-ABMI-658-53,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-661-41-1,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-661-41-2,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-661-41-3,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-661-41-3-b,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-661-41-4,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-668-51,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-668-52,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-669-41-1,ABMI Ecosystem Health 2017,Decid4,NA,Decid
OG-ABMI-669-41-2,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
OG-ABMI-669-41-3,ABMI Ecosystem Health 2017,CCDecidR,CutBlocks,HF
OG-ABMI-669-41-4,ABMI Ecosystem Health 2017,Decid4,NA,Decid
OG-ABMI-669-51,ABMI Ecosystem Health 2018,CCPine1,CutBlocks,Shrub
OG-ABMI-669-52,ABMI Ecosystem Health 2018,Decid2,UNK,Decid
OG-ABMI-669-53,ABMI Ecosystem Health 2018,ShrubbyBog,UNK,Shrub
OG-ABMI-669-54,ABMI Ecosystem Health 2018,Spruce1,UNK,Conif
OG-ABMI-684-51,ABMI Ecosystem Health 2018,ShrubbyBog,UNK,Shrub
OG-ABMI-684-52,ABMI Ecosystem Health 2018,Spruce2,UNK,Conif
OG-ABMI-692-41-NE,ABMI Ecosystem Health 2017,TreedBog6,NA,WetTreed
OG-ABMI-692-41-NW,ABMI Ecosystem Health 2017,Mixedwood5,NA,Decid
OG-ABMI-692-41-SE,ABMI Ecosystem Health 2017,TreedFen6,NA,WetTreed
OG-ABMI-692-41-SW,ABMI Ecosystem Health 2017,Mixedwood4,NA,Decid
OG-ABMI-693-51,ABMI Ecosystem Health 2018,CCMixedwood3,CutBlocks,Conif
OG-ABMI-693-52,ABMI Ecosystem Health 2018,CCMixedwood3,CutBlocks,Conif
OG-ABMI-693-53,ABMI Ecosystem Health 2018,Pine8,UNK,Conif
OG-ABMI-696-51,ABMI Ecosystem Health 2018,ShrubbyFen,UNK,Shrub
OG-ABMI-696-52,ABMI Ecosystem Health 2018,Spruce9,UNK,Conif
OG-ABMI-696-53,ABMI Ecosystem Health 2018,Spruce9,UNK,Conif
OG-ABMI-697-41-1,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-697-41-2,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-697-41-3,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-697-41-4,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-697-52,ABMI Ecosystem Health 2018,TreedBog3,UNK,WetTreed
OG-ABMI-697-54,ABMI Ecosystem Health 2018,Spruce9,UNK,Conif
OG-ABMI-697-56,ABMI Ecosystem Health 2018,CCDecid1,CutBlocks,Shrub
OG-ABMI-697-57,ABMI Ecosystem Health 2018,CCMixedwood1,CutBlocks,Shrub
OG-ABMI-701-41-1,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
OG-ABMI-701-41-2,ABMI Ecosystem Health 2017,TreedBog5,NA,WetTreed
OG-ABMI-701-41-3,ABMI Ecosystem Health 2017,Pine5,NA,Conif
OG-ABMI-701-41-4,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
OG-ABMI-702-51,ABMI Ecosystem Health 2018,Pine8,UNK,Conif
OG-ABMI-702-52,ABMI Ecosystem Health 2018,GraminoidFen,UNK,WetGrass
OG-ABMI-702-53,ABMI Ecosystem Health 2018,CCPine1,CutBlocks,Shrub
OG-ABMI-721-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-721-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-721-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-721-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-722-51,ABMI Ecosystem Health 2018,CCPine1,CutBlocks,Shrub
OG-ABMI-722-52,ABMI Ecosystem Health 2018,CCMixedwood3,CutBlocks,Conif
OG-ABMI-723-51,ABMI Ecosystem Health 2018,CCPine3,CutBlocks,Conif
OG-ABMI-723-52,ABMI Ecosystem Health 2018,CCSpruce3,CutBlocks,Conif
OG-ABMI-723-53,ABMI Ecosystem Health 2018,CCPine2,CutBlocks,Conif
OG-ABMI-724-51,ABMI Ecosystem Health 2018,CCSpruce3,CutBlocks,Conif
OG-ABMI-724-52,ABMI Ecosystem Health 2018,RoadTrailVegetated,RoadTrailVegetated,HF
OG-ABMI-724-53,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-744-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-744-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-744-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-744-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-753-51,ABMI Ecosystem Health 2018,CCPine3,CutBlocks,Conif
OG-ABMI-755-51,ABMI Ecosystem Health 2018,CCDecid1,CutBlocks,Shrub
OG-ABMI-755-52,ABMI Ecosystem Health 2018,CCMixedwood2,CutBlocks,Conif
OG-ABMI-755-53,ABMI Ecosystem Health 2018,CCSpruce3,CutBlocks,Conif
OG-ABMI-760-51,ABMI Ecosystem Health 2018,CCPine1,CutBlocks,Shrub
OG-ABMI-760-53,ABMI Ecosystem Health 2018,GraminoidFen,UNK,WetGrass
OG-ABMI-761-56,ABMI Ecosystem Health 2018,TreedBog3,UNK,WetTreed
OG-ABMI-825-21-1,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-825-21-2,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-825-21-3,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-825-21-4,ABMI Ecosystem Health 2015,TransmissionLine,TransmissionLine,HF
OG-ABMI-825-41-1,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-825-41-2,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-825-41-3,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-825-41-4,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-825-42-1,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-825-42-2,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
OG-ABMI-825-42-3,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
OG-ABMI-825-42-4,ABMI Ecosystem Health 2017,Decid5,Lo,Decid
OG-ABMI-825-51,ABMI Ecosystem Health 2018,Pipeline,Pipeline,HF
OG-ABMI-825-52,ABMI Ecosystem Health 2018,Mixedwood7,UNK,Decid
OG-ABMI-890-41-1,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-890-41-2,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-890-41-3,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-890-41-4,ABMI Ecosystem Health 2017,TransmissionLine,TransmissionLine,HF
OG-ABMI-926-41-1,ABMI Ecosystem Health 2017,Decid2,NA,Decid
OG-ABMI-926-41-2,ABMI Ecosystem Health 2017,Decid2,NA,Decid
OG-ABMI-926-41-3,ABMI Ecosystem Health 2017,Pipeline,Pipeline,HF
OG-ABMI-926-41-4,ABMI Ecosystem Health 2017,RoadVegetatedVerge,RoadVegetatedVerge,HF
OG-ABMI-927-21-1,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-927-21-2,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-927-21-3,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-927-21-4,ABMI Ecosystem Health 2015,Pipeline,Pipeline,HF
OG-ABMI-990-21,ABMI Ecosystem Health 2015,Decid4,TB,Decid
OG-ABMI-990-22,ABMI Ecosystem Health 2015,Decid1,TB,WetGrass
OG-ABMI-990-23,ABMI Ecosystem Health 2015,CultivationTamePasture,CultivationTamePasture,HF
OG-ABMI-993-21,ABMI Ecosystem Health 2015,Pine4,Sa,Conif
OG-CITSCI-1052-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1053-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1054-31,ABMI Ecosystem Health 2016,Decid5,Lo,Decid
OG-CITSCI-1055-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1056-31,ABMI Ecosystem Health 2016,Decid5,Lo,Decid
OG-CITSCI-1157-31,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,Grass
OG-CITSCI-1192-31,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,Grass
OG-CITSCI-1211-31,ABMI Ecosystem Health 2016,Mixedwood5,Lo,Decid
OG-CITSCI-1241-31,ABMI Ecosystem Health 2016,Mixedwood5,Len,Decid
OG-CITSCI-1275-31,ABMI Ecosystem Health 2016,Decid4,Lo,Decid
OG-CITSCI-1301-31,ABMI Ecosystem Health 2016,Decid4,Lo,Decid
OG-CITSCI-1301-32,ABMI Ecosystem Health 2016,Decid2,Lo,Decid
OG-CITSCI-1302-31,ABMI Ecosystem Health 2016,Spruce7,LtcR,Conif
OG-CITSCI-1330-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1330-32,ABMI Ecosystem Health 2016,Spruce5,Lo,Conif
OG-CITSCI-1331-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1331-32,ABMI Ecosystem Health 2016,Marsh,LenW,Shrub
OG-CITSCI-1333-31,ABMI Ecosystem Health 2016,Decid2,Lo,Decid
OG-CITSCI-1419-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1600-31,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-1600-32,ABMI Ecosystem Health 2016,GrassHerb,Lo,Grass
OG-CITSCI-921-31,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,Decid
OG-CITSCI-990-31,ABMI Ecosystem Health 2016,CultivationRoughPasture,CultivationRoughPasture,HF
OG-EI-1004-41-1,ABMI Ecosystem Health 2017,TreedBog5,NA,WetTreed
OG-EI-1004-41-2,ABMI Ecosystem Health 2017,TreedBog4,NA,WetTreed
OG-EI-218-41-1,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
OG-EI-218-41-2,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
OG-EI-218-42-1,ABMI Ecosystem Health 2017,ShrubbySwamp,NA,Shrub
OG-EI-218-42-2,ABMI Ecosystem Health 2017,ShrubbyFen,NA,Shrub
